material,type,atomic_number,atomic_mass,electronegativity,ionization_energy,second_ionization_energy,electron_affinity,atomic_radius,covalent_radius,ionic_radius,van_der_waals_radius,coordination_number,lattice_constant,valence_electrons,d_electrons,s_electrons,p_electrons,f_electrons,group,period,melting_point,boiling_point,density,heat_of_fusion,heat_of_vaporization,specific_heat,cohesive_energy,formation_energy,nitride_formation_energy,oxide_formation_energy,surface_energy,work_function,bulk_modulus,shear_modulus,youngs_modulus,poisson_ratio,thermal_conductivity,electrical_conductivity,magnetic_moment,d_band_center,d_band_width,d_band_filling,fermi_energy,band_gap,dG_N,predicted_dG_N,pred_error_lo,pred_error_hi,dist_from_optimal,pred_UL,faradaic_eff_pct,nh3_time_hrs,stability,confidence,quality
Fe-SAC/V4C3,MXene,26,55.85,1.83,7.9,16.18,0.151,1.26,1.32,0.78,2.04,4,2.87,8.0,6.0,2.0,0,0,8.0,4.0,1811,3134,7.87,13.81,340,0.449,4.28,0.0,-0.12,-3.6,1.52,4.38,170,52,134,0.28,40.0,5.0,2.0,-0.88,2.75,0.62,-0.22,0.0,0.0,-0.3650738767223228,-0.4443632004446575,-0.28578455299998806,0.015073876722322799,-0.09979801986950981,29.89498895965769,0.39,⚠️  Delamination in prolonged electrolysis,HIGH (fully in window ±MAE),OPTIMAL
Fe-SAC/Ti2N,MXene,26,55.85,1.83,7.9,16.18,0.151,1.26,1.32,0.78,2.04,4,2.87,8.0,6.0,2.0,0,0,8.0,4.0,1811,3134,7.87,13.81,340,0.449,4.28,0.0,-0.14,-3.6,1.52,4.4,170,53,136,0.28,40.0,4.8,2.0,-0.87,2.7,0.62,-0.22,0.0,0.0,-0.36823905744721536,-0.44752838116955007,-0.28894973372488064,0.01823905744721538,-0.10185538734069,29.84638389781556,0.4,⚠️  Delamination in prolonged electrolysis,HIGH (fully in window ±MAE),OPTIMAL
RuCoMo,alloy,35,79.0,2.09,7.45,16.8,0.82,1.3,1.4,0.79,2.08,9,2.79,7.7,6.7,1.3,0,0,7.7,4.7,2400,4275,10.55,30.7,545,0.31,6.03,0.0,-0.35,-4.45,2.72,4.62,241,120,309,0.29,109.0,14.5,0.6,-1.29,3.88,0.76,-0.3,0.0,0.0,-0.37026406332785033,-0.4495533870501851,-0.29097473960551556,0.020264063327850357,-0.10317164116310273,29.810493548585587,0.4,✅ Stable (literature supported),HIGH (fully in window ±MAE),OPTIMAL
Cr-SAC/N-C,SAC,24,52.0,1.66,6.77,16.5,0.666,1.28,1.39,0.76,2.06,4,2.88,6.0,5.0,1.0,0,0,6.0,4.0,2180,2944,7.19,20.5,339,0.449,4.1,0.0,-0.4,-5.6,1.55,4.4,160,72,186,0.29,40.0,5.0,0.0,-1.1,3.5,0.65,-0.27,0.0,0.0,-0.3714996644200767,-0.4507889881424114,-0.292210340697742,0.021499664420076725,-0.10397478187304987,29.786763491287317,0.4,✅ Stable (literature supported),HIGH (fully in window ±MAE),OPTIMAL
Ru-SAC/Ti3C2,SAC_MXene,44,101.07,2.2,7.36,16.76,1.05,1.34,1.46,0.82,2.13,4,2.71,8.0,7.0,1.0,0,0,8.0,5.0,2607,4423,12.45,38.59,619,0.238,6.74,0.0,-0.05,-3.5,2.0,4.45,321,105,271,0.28,58.0,7.0,0.0,-1.05,2.9,0.72,-0.37,0.0,0.0,-0.32030852046876324,-0.399597844191098,-0.2410191967464285,0.029691479531236742,-0.10929946169530388,29.594623045819628,0.4,✅ Stable (literature supported),HIGH (fully in window ±MAE),OPTIMAL
FeMo2Ru,alloy,43,99.0,2.13,7.28,16.4,0.75,1.37,1.5,0.76,2.14,9,2.97,6.5,5.7,1.3,0,0,7.0,4.7,2750,4740,11.34,37.4,595,0.25,6.6,0.0,-0.55,-4.72,2.88,4.47,271,136,351,0.29,120.0,15.8,0.5,-1.33,3.95,0.75,-0.26,0.0,0.0,-0.3833105676893688,-0.46259989141170355,-0.304021243967034,0.0333105676893688,-0.11165186899808971,29.490672258024297,0.4,✅ Stable (literature supported),HIGH (fully in window ±MAE),OPTIMAL
Ru-SAC/Nb4C3,MXene,44,101.07,2.2,7.36,16.76,1.05,1.34,1.46,0.82,2.13,4,2.71,8.0,7.0,1.0,0,0,8.0,5.0,2607,4423,12.45,38.59,619,0.238,6.74,0.0,-0.05,-3.5,1.88,4.4,321,100,259,0.28,55.0,7.0,0.0,-1.03,2.88,0.72,-0.36,0.0,0.0,-0.3129493927135013,-0.3922387164358361,-0.23366006899116656,0.03705060728649867,-0.11408289473622413,29.371153131335703,0.4,⚠️  Delamination in prolonged electrolysis,HIGH (fully in window ±MAE),OPTIMAL
Co-SAC/Mo2C,MXene,27,58.93,1.88,7.88,17.06,0.661,1.25,1.26,0.79,2.0,4,2.51,9.0,7.0,2.0,0,0,9.0,4.0,1768,3200,8.9,16.2,377,0.421,4.39,0.0,-0.22,-4.7,1.72,4.72,191,58,150,0.27,46.0,5.8,1.5,-0.9,2.8,0.7,-0.31,0.0,0.0,-0.39043689562466766,-0.4697262193470024,-0.3111475719023329,0.04043689562466768,-0.11628398215603399,29.25246081826898,0.4,⚠️  Delamination in prolonged electrolysis,HIGH (fully in window ±MAE),OPTIMAL
MoFeC,carbide,36,84.3,2.0,7.5,16.2,0.45,1.33,1.43,0.74,2.11,6,3.05,6.0,5.5,1.5,0,0,7.0,4.5,2354,4500,8.87,25.6,469,0.35,5.55,0.0,-0.55,-4.86,1.72,4.4,215,97,250,0.28,88.0,11.5,0.8,-1.15,3.4,0.68,-0.22,0.0,0.0,-0.4017124240856223,-0.481001747807957,-0.3224231003632876,0.05171242408562232,-0.1236130756556545,28.78715417241257,0.41,⚠️  Surface oxidation risk above 300 K,HIGH (fully in window ±MAE),OPTIMAL
FeCoRu,alloy,33,72.0,2.03,7.71,16.7,0.62,1.28,1.35,0.8,2.05,10,2.73,8.3,6.8,1.5,0,0,8.3,4.3,2060,3650,9.74,23.3,398,0.38,5.14,0.0,-0.23,-3.97,2.57,4.79,224,111,288,0.29,99.1,12.5,1.1,-1.34,3.82,0.76,-0.31,0.0,0.0,-0.40518797611964535,-0.48447729984198007,-0.32589865239731064,0.05518797611964538,-0.1258721844777695,28.622572143746755,0.41,✅ Stable (literature supported),HIGH (fully in window ±MAE),OPTIMAL
Co-SAC/BN,SAC_BN,27,58.93,1.88,7.88,17.06,0.661,1.25,1.26,0.79,2.0,4,2.51,9.0,7.0,2.0,0,0,9.0,4.0,1768,3200,8.9,16.2,377,0.421,4.39,0.0,-0.22,-4.7,1.65,4.78,191,60,153,0.26,46.0,6.0,1.5,-0.9,2.8,0.7,-0.32,0.0,0.0,-0.40886025381238683,-0.48814957753472155,-0.3295709300900521,0.058860253812386854,-0.12825916497805145,28.438174655200033,0.42,✅ Stable (literature supported),HIGH (fully in window ±MAE),OPTIMAL
NiMoRu,alloy,38,85.3,2.15,7.36,17.1,0.93,1.32,1.43,0.79,2.12,10,2.97,7.7,6.7,1.0,0,0,7.7,4.7,2710,4793,11.58,31.2,532,0.27,6.37,0.0,-0.48,-4.49,2.64,4.74,263,117,302,0.29,116.5,14.5,0.2,-1.32,3.83,0.79,-0.3,0.0,0.0,-0.29072486305490536,-0.3700141867772401,-0.21143553933257062,0.05927513694509462,-0.1285288390143115,28.416673178880913,0.42,✅ Stable (literature supported),HIGH (fully in window ±MAE),OPTIMAL
